2025-09-12 17:31:07.000 | ERROR    | __main__:check_environment:44 | Missing required environment variables: ['SUPABASE_URL', 'SUPABASE_SERVICE_KEY', 'OPENAI_API_KEY']
2025-09-12 17:31:07.000 | ERROR    | __main__:check_environment:45 | Please copy .env.example to .env and configure your API keys
2025-09-12 17:31:07.001 | ERROR    | __main__:main:66 | Environment check failed. Exiting.
2025-09-12 18:34:02.303 | ERROR    | __main__:check_environment:60 | Missing required environment variables: ['SUPABASE_URL', 'SUPABASE_SERVICE_KEY']
2025-09-12 18:34:02.303 | ERROR    | __main__:check_environment:61 | Please copy .env.example to .env and configure your API keys
2025-09-12 18:34:02.303 | ERROR    | __main__:main:117 | Environment check failed. Exiting.
2025-09-12 18:34:38.804 | ERROR    | __main__:check_environment:60 | Missing required environment variables: ['SUPABASE_URL', 'SUPABASE_SERVICE_KEY']
2025-09-12 18:34:38.805 | ERROR    | __main__:check_environment:61 | Please copy .env.example to .env and configure your API keys
2025-09-12 18:34:38.805 | ERROR    | __main__:main:117 | Environment check failed. Exiting.
2025-09-12 20:59:35.509 | ERROR    | __main__:initialize_real_data_sources:105 | Failed to initialize real data sources: name 'TechnicalCalculator' is not defined
2025-09-12 20:59:35.521 | ERROR    | __main__:main:137 | Failed to initialize real data sources. Exiting.
2025-09-12 21:12:59.971 | ERROR    | __main__:initialize_real_data_sources:104 | Failed to initialize real data sources: name 'IntelligentOrchestrator' is not defined
2025-09-12 21:12:59.972 | ERROR    | __main__:main:136 | Failed to initialize real data sources. Exiting.
2025-09-12 21:13:42.660 | ERROR    | __main__:initialize_real_data_sources:104 | Failed to initialize real data sources: name 'IntelligentOrchestrator' is not defined
2025-09-12 21:13:42.661 | ERROR    | __main__:main:136 | Failed to initialize real data sources. Exiting.
2025-09-12 21:39:17.777 | ERROR    | src.api.intelligent_orchestrator:_run_technical_agent:337 | Technical agent error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 21:39:17.778 | ERROR    | src.api.intelligent_orchestrator:_generate_technical_indicators:473 | Technical indicators generation error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 21:47:31.463 | ERROR    | src.api.intelligent_orchestrator:_run_technical_agent:337 | Technical agent error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 21:47:31.464 | ERROR    | src.api.intelligent_orchestrator:_generate_technical_indicators:473 | Technical indicators generation error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 21:47:34.170 | ERROR    | src.api.intelligent_orchestrator:_run_technical_agent:337 | Technical agent error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 21:47:34.171 | ERROR    | src.api.intelligent_orchestrator:_generate_technical_indicators:473 | Technical indicators generation error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 21:47:36.191 | ERROR    | src.api.intelligent_orchestrator:_run_technical_agent:337 | Technical agent error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 21:47:36.193 | ERROR    | src.api.intelligent_orchestrator:_generate_technical_indicators:473 | Technical indicators generation error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 21:47:37.627 | ERROR    | src.api.intelligent_orchestrator:_run_technical_agent:337 | Technical agent error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 21:47:37.628 | ERROR    | src.api.intelligent_orchestrator:_generate_technical_indicators:473 | Technical indicators generation error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 21:47:39.051 | ERROR    | src.api.intelligent_orchestrator:_run_technical_agent:337 | Technical agent error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 21:47:39.052 | ERROR    | src.api.intelligent_orchestrator:_generate_technical_indicators:473 | Technical indicators generation error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 22:06:06.303 | ERROR    | src.api.intelligent_orchestrator:_run_technical_agent:337 | Technical agent error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 22:06:06.304 | ERROR    | src.api.intelligent_orchestrator:_generate_technical_indicators:473 | Technical indicators generation error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 22:06:08.311 | ERROR    | src.api.intelligent_orchestrator:_run_technical_agent:337 | Technical agent error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 22:06:08.312 | ERROR    | src.api.intelligent_orchestrator:_generate_technical_indicators:473 | Technical indicators generation error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 22:06:09.627 | ERROR    | src.api.intelligent_orchestrator:_run_technical_agent:337 | Technical agent error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 22:06:09.628 | ERROR    | src.api.intelligent_orchestrator:_generate_technical_indicators:473 | Technical indicators generation error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
2025-09-12 22:06:11.023 | ERROR    | src.api.intelligent_orchestrator:_run_technical_agent:337 | Technical agent error: 'TechnicalIndicatorsCalculator' object has no attribute 'calculate_all_indicators'
